,nct_id,description,title,intervention_name,disease,keyword,outcome_measure,criteria,reference,overall_status
73,NCT02283788,"A randomized, double-blind, placebo-controlled and open label active-controlled, 4 period crossover trial to evaluate the effect of eslicarbazepine acetate on cardiac repolarization in healthy adult men and women",Trial to Evaluate the Effect of Eslicarbazepine Acetate on Cardiac Repolarization,"BIA 2-093, Moxifloxacin, Placebo",Epilepsy,none,"QTcI - QT Interval Individually Corrected for Heart Rate - Day 5, QTcB - QT Interval Corrected for Heart Rate Using Bazett's Formula, QTcF - QT Interval Corrected Using Fridericia's Formula","Inclusion Criteria:~Be a healthy male or female 18 to 45 years of age. Women were required to be postmenopausal (more than 12 months since last period); surgically sterile (hysterectomy or tubal ligation at least 6 months prior to enrollment); using an intrauterine device; or double barrier (i.e. diaphragm or spermicide plus male condom) non-hormonal contraceptive therapy for the duration of the trial and were required to have a negative pregnancy test at screening and upon each check-in to the study facility.~Have a BMI within the range of 18-30 kg/m2.~Be able to communicate effectively with the study personnel.~Have no significant disease or abnormal laboratory values as determined by medical history, physical examination or laboratory evaluations, conducted at the screening visit and on each admission to the clinic.~Have a normal 12-lead electrocardiogram, without any clinically significant abnormalities of rate, rhythm or conduction.~Be nonsmokers defined as not having smoked in the past 6 months.~Be adequately informed of the nature and risks of the study and give written informed consent prior to study entry.~Exclusion Criteria:~Known hypersensitivity or allergy to moxifloxacin, eslicarbazepine acetate or related compounds such as carbamazepine, oxcarbazepine, or licarbazepine.~Women who were pregnant or breast feeding.~Any disease or condition (medical or surgical) which, in the opinion of the investigator, might compromise the hematologic, cardiovascular, pulmonary, renal, gastrointestinal, hepatic, or central nervous system; or other conditions that may interfere with the absorption, distribution, metabolism or excretion of study drug, or placed the subject at increased risk.~A sustained supine systolic blood pressure > 140 mmHg or <100mm Hg or a diastolic blood pressure > 95 mmHg at screening or baseline.~A resting ECG heart rate of <50 bpm or >100 bpm.",none,Completed
74,NCT02283814,"Single centre, open-label, multiple doses, one-sequence design study in two parallel groups of healthy volunteers","A Open-label, Drug Interaction Study Between Eslicarbazepine Acetate and Topiramate","BIA 2-093, Topamax",Epilepsy,none,"Cmax - the Maximum Plasma Concentration, Tmax - the Time of Occurrence of Cmax, AUCτ - Cumulative Area Under the Plasma Concentration Time Curve Over the Dosing Interval at Steady State.","Inclusion Criteria:~Availability of volunteer for the entire study period and willingness to adhere to protocol requirements as evidenced by the informed consent form (ICF) duly read, signed and dated by the volunteer~Male aged of at least 18 years but not older than 45 years with a body mass índex (BMI) greater than or equal to 19 and below 30 kg/m~Clinical laboratory values within the laboratory's stated normal range; i f not within this range, they must be without any clinical significance (laboratory tests are presented in section 6.1.1.3)~Healthy according to the medical history, laboratory results and physical~Light-, non- or ex-smokers. A light smoker is defined as someone smoking 1 0 cigarettes or less per day, and an ex-smoker i s defined as someone who completely stopped smoking for at least 1 2 months before day 1 of this study~Exclusion Criteria:~Significant history of hypersensitivity to topiramate, eslicarbazepine, oxcarbazepine, carbamazepine or any related products (including excipients of the formulations) as wel l as severe hypersensitivity reactions (like angioedema) to any drugs~Presence of significant gastrointestinal, l iver or kidney disease, or any other conditions known to interfere with the absorption, distribution, metabolism or excretion of drugs or known to potentiate or predispose to undesired effects~History of significant gastrointestinal, liver o r kidney disease, o r surgery that may affect drug bioavailability, including but not limited to cholecystectomy~Presence of significant cardiovascular, pulmonary, hematologic, neurologic, psychiatric, endocrine, immunologic or dermatologic d isease~Presence o f significant heart disease o r disorder according to ECG~Presence or history of significant central nervous system disorder l ike convulsion or depression~Presence o r history o f significant ocular disease~Presence or history of severe hepatic impairment~Presence or history of renal insufficiency (serum creatinine level greater than 135 μmol/L)~History or presence of acidosis~Use of valproic acid in the previous 7 days prior to Day 1 of the study.~Maintenance therapy with any drug, or significant history of drug dependency or alcohol abuse (> 3 units of alcohol per day, intake of excessive alcohol, acute or chronic)~Any clinically significant illness in the previous 28 days before day 1 of this study~Use of any enzyme-modifying drugs, including strong inhibitors of cytochrome P450 (CYP) enzymes (such as cimetidine, fluoxetine, quinidine, erythromycin, ciprofloxacin, fluconazole, ketoconazole, diltiazem and HIV antivirals) and strong inducers of CYP enzymes (such as barbiturates, carbamazepine, glucocorticoids, phenytoin and rifampin), in the previous 28 days before Day 1 of this study~Participation in another clinical trial or donation of 50 mL or more of blood in the previous 28 days before day 1 of this study~Donation of 500 mL or more of blood (Canadian B lood Services, Hema-Quebec, clinical studies, etc.) in the previous 56 days before day 1 of this study~Positive urine screening of drugs of abuse (drugs listing is presented in section 6.1.1.4).~Positive results to HIV, HBsAg or anti-HCV tests",none,Completed
75,NCT02719236,"The purpose of this study is to compare the direct anterior approach and the direct lateral approach in primary total hip arthroplasty, regarding the postoperative function and pain, complications, radiological finds (X-ray), postoperative hemorrhage, markers for muscle damage (i.e creatine kinase (CK), lactate dehydrogenase(LDH/LD) , aspartate aminotransferase(AST), C-reactive protein (CRP),Troponin and Myoglobin) or other clinical outcomes.",Direct Anterior Approach Versus Direct Lateral Approach in Total Hip Arthroplasty,"direct anterior approach, direct lateral approach",Coxarthrosis,"Direct Lateral Approach, Coxarthrosis, Hip arthroplasty, Direct Anterior Approach","Muscle damage assay using Myoglobin biomarker, Muscle damage assay using Troponin T biomarker, Functional outcome using Harris Hip Score, Functional outcome using the Oxford Hip Score Survey, Functional outcome using the 36-Item Short Form Health Survey (SF-36), Functional outcome using the 20-meters-timed-walk(66 feet) test, Functional outcome using the Stair Climbing Test (SCT), Post Operative Pain Medication Usage, Pain assessment using the Visual Numeric Scale, Muscle damage - Creatine kinase (CK), Muscle damage - Lactate dehydrogenase (LDH or LD), Muscle damage assay using Aspartate aminotransferase (AST), radiological assessment of cup positioning in the replaced hip, radiological assessment of stem positioning in the replaced hip, radiological assessment of cup and stem osteointegration in the replaced hip, Length of Hospital Stay","Inclusion Criteria:~Clinical and radiological diagnosis of coxarthrosis~Those deemed capable of giving informed consent, understanding the aims of the study and expressing willingness to comply with the post-operative review programme.~Exclusion Criteria:~Previous surgery on affected hip~The patient has inflammatory arthritis.~The patient has any type of infection.~The subject has a known metal allergy.~Patients with co-existent ipsilateral knee disease or back problems~Those with a known co-existent medical condition where death is anticipated within five years due to the pre-existing medical condition.~Patients requiring bilateral hip replacement.~Patient with active major psychiatric illness~Patients whose body mass index (BMI; kg/m2) >35.~Patients with active or suspected infection or sepsis.~Patients with renal failure and/or renal insufficiency."," Single-incision anterior approach for total hip arthroplasty on an orthopaedic table,  Surgical approach in primary total hip arthroplasty: anatomy, technique and clinical outcomes,  Standard Transgluteal versus Minimal Invasive Anterior Approach in hip Arthroplasty: A Prospective, Consecutive Cohort Study,  Surgical approach and prosthesis fixation in hip arthroplasty world wide,  Direct anterior total hip arthroplasty: Literature review of variations in surgical technique,  No differences between direct anterior and lateral approach for primary total hip arthroplasty related to muscle damage or functional outcome,  Performance-Based Versus Self-Reported Outcomes Using the Hip Disability and Osteoarthritis Outcome Score After Total Hip Arthroplasty",Completed
76,NCT03759652,"Continuous surveillance in 2003-2017 allowed to detect HAIs in patients staying in a 42-bed neurosurgery unit with 6 intensive neurosurgical supervision beds. 10,332 surgical patients were qualified for the study. The study was carried out in the framework of a national surveillance of HAI programme following methodology recommended by Healthcare-Associated Infections Surveillance Network (HAI-Net), European Centre for Disease Prevention and Control. Intervention in this before-after study (2003-2017) comprised standardised surveillance of HAI with regular analysis and feedback.",Surgical and Non-surgical Infections of Neurosurgical Patient: Before-after Cohort Study,before-after study,Neurosurgery,"neurosurgery, surgical site infections, spinal surgery, craniotomy, laminectomy","incidence of surgical site infection, incidence of pneumonia, incidence of bloodstream infections",Inclusion Criteria:~clinical diagnosis of neurosurgical disorders~requiring surgery~Exclusion Criteria:~patients without surgery intervention,none,Completed
77,NCT02283827,"Single centre, open-label, multiple doses, two parallel study groups each receiving two formulations in a one-sequence design",Open-label Drug Interaction Study Between Eslicarbazepine Acetate and Phenytoin.,"BIA 2-093, Phenytoin",Epilepsy,none,"Cmax - the Maximum Plasma Concentration, AUC0-t - the Area Under the Plasma Concentration-time Curve From Time Zero to the Last Sampling Time, Tmax - the Time of Occurrence of Cmax","Inclusion Criteria:~Availability of volunteer for the entire study period and willingness to adhere to protocol requirements as evidenced by the informed consent form (ICF) duly read, signed and dated by the volunteer~Non-black male aged of at least 18 years but not older than 45 years with a body mass index (BMI) greater than or equal to 19 and below 30 kg/m2~Clinical laboratory values within the laboratory's stated normal range; if not within this range, they must be without any clinical significance (laboratory tests are presented in section 6.1.1.3)~Healthy according to the medical history, laboratory results and physical examination~Light-, non- or ex-smokers. A light smoker is defined as someone smoking 10 cigarettes or less per day, and an ex-smoker is defined as someone who completely stopped smoking for at least 12 months before day 1 of this study~Exclusion Criteria:~Significant history of hypersensitivity to phenytoin, eslicarbazepine, oxcarbazepine, carbamazepine or any related products (including excipients of the formulations) as well as severe hypersensitivity reactions (like angioedema) to any drugs~Presence of significant gastrointestinal, liver or kidney disease, or any other conditions known to interfere with the absorption, distribution, metabolism or excretion of drugs or known to potentiate or predispose to undesired effects~History of significant gastrointestinal, liver or kidney disease, or surgery that may affect drug bioavailability, including but not limited to cholecystectomy~Presence of significant cardiovascular, pulmonary, hematologic, neurologic, psychiatric, endocrine, immunologic or dermatologic disease~Presence of significant heart disease or disorder according to ECG~Presence or history of significant central nervous system disorder like convulsion or depression~Hemoglobin count below 135 g/L (at screening)~Use of valproic acid in the previous 7 days prior to Day 1 of the study.~Maintenance therapy with any drug, or significant history of drug dependency or alcohol abuse (> 3 units of alcohol per day, intake of excessive alcohol, acute or chronic)~Any clinically significant illness in the previous 28 days before day 1 of this study~Use of any enzyme-modifying drugs, including strong inhibitors of cytochrome P450 (CYP) enzymes (such as cimetidine, fluoxetine, quinidine, erythromycin, ciprofloxacin, fluconazole, ketoconazole, diltiazem and HIV antivirals) and strong inducers of CYP enzymes (such as barbiturates, carbamazepine, glucocorticoids,phenytoin and rifampin), in the previous 28 days before Day 1 of this study.",none,Completed
78,NCT03759626,Alcohol is the psychoactive substance most experienced by young people. It benefits from positive representations that are reinforced by marketing strategies where advertisers integrate their products into TV series. Our project takes into account the reflexive and impulsive model developed by Strack & Deutsch (2004). We will compare the impulsive intervention to an educational module based on information and reflection that uses the individual's reflexive system with 30 classes in the Loire and Rhône departments. The intervention framework developed uses a modeling system that includes several concepts that work together. These concepts describe the influence of media messages on young people's opinions and behaviours. Given that the objective is to reduce the positive representations of alcohol among young people by means of an educational module based on information and reflection (reflexive model) and a module based on the impulsive system where the para-social connection is involved. The Alcohol Expectancies Scale will be proposed as a judgment criterion and will be administered before and after the intervention.,I2S-Health Prevention,"Impulsive intervention, Reflective Intervention",Secondary School Student in General High School Who Does Not Have a Disability That Does Not Allow a Good Understanding of the Study Requirements,"alcohol, youth, prevention, comparative study, reflexive model, impulsive model, para-social connection","Alcohol consumption level of reprensentation, The level of intention to consume alcohol, Alcohol consumers level of representation, level of reactance, level of sensation-seeking of individuals, level of socio-economic status, Consumption of Television Programming","Inclusion Criteria:~be enrolled in second grade in one of the high schools included~Have been informed of the study and have not objected to participating~To be in a general secondary school of general education, of public status~To be in a high school located in the Auvergne-Rhône Alpes region.~Exclusion Criteria:~Having a disability that does not allow a good understanding of the study requirements~Student who opposed participation in the study~High school without a general education section~High school included in another research protocol",none,Unknown status
79,NCT01755429,This protocol is intended to formally collect data on the treatment of aHUS with eculizumab in Japanese patients.,To Characterize the Safety and Tolerability of Eculizumab in Two Japanese aHUS Patients,none,ATYPICAL HEMOLYTIC UREMIC SYNDROME (AHUS),none,Change in platelet count from baseline,"Inclusion Criteria:~Patient and/or legal guardian must be willing and able to give written informed consent and id the patient is not an adult and able to read and write, the patient is willing to give written informed assent~Eculizumab treatment initiated as personal importation for aHUS in 201~Exclusion Criteria:~Not Applicable",none,Completed
80,NCT02283840,"Single center, randomized, single dose, laboratory-blinded, 2-period, 2-sequence, crossover design",Single Dose Crossover Comparative Bioavailability Study of Eslicarbazepine Acetate Versus To-be-marketed Formulation,BIA 2-093,Epilepsy,none,"Cmax BIA 2-005 - the Maximum Plasma Concentration of BIA 2-005, AUC0-t - the Area Under the Plasma Concentration-time Curve From Time Zero to the Last Sampling Time, Tmax BIA 2-005 - Time of Maximum Plasma Concentration of BIA 2-005","Inclusion Criteria:~Availability of volunteer for the entire study period and willingness to adhere to protocol requirements as evidenced by the informed consent form (ICF) duly read, signed and dated by the volunteer~Male or female aged of at least 18 years but not older than 55 years with a body mass index (BMI) greater than or equal to equal to 19 and below 30 kg/m2~Clinical laboratory values within the laboratory's stated normal range; if not within this range, they must be without any clinical significance (laboratory tests are presented in section 6.1.1.3)~Healthy according to the medical history, laboratory results and physical examination~Light-, non- or ex-smokers. A light smoker is defined as someone smoking 10 cigarettes or less per day for at least 3 months before day 1 of this study. An exsmoker is defined as someone who completely stopped smoking for at least 12 months before day 1 of this study~Exclusion Criteria:~Significant history of hypersensitivity to eslicarbazepine, oxcarbazepine, carbamazepine or any related products (including excipients of the formulations) as well as severe hypersensitivity reactions (like angioedema) to any drugs~Presence of significant gastrointestinal, liver or kidney disease, or any other conditions known to interfere with the absorption, distribution, metabolism or excretion of drugs or known to potentiate or predispose to undesired effects~History of significant gastrointestinal, liver or kidney disease, or surgery that may affect drug bioavailability, including but not limited to cholecystectomy~Presence of significant cardiovascular, pulmonary, hematologic, neurologic, psychiatric, endocrine, immunologic or dermatologic disease~Presence of significant heart disease or disorder according to ECG~Presence or history of significant central nervous system disorder like convulsion or depression~Participation in any previous study with eslicarbazepine acetate~Females who are pregnant according to a positive serum pregnancy test or are lactating~Females of childbearing potential who refuse to use an acceptable contraceptive regimen throughout the study~Use of systemic contraceptives (oral, implant, etc.) in the previous 14 days before day 1 of this study and until study completion.~Use of systemic contraceptives (injections) and hormonal replacement therapy in the previous 13 weeks before day 1 of this study and until study completion~Maintenance therapy with any drug, or significant history of drug dependency or alcohol abuse (> 3 units of alcohol per day, intake of excessive alcohol, acute or chronic)~Any clinically significant illness in the previous 28 days before day 1 of this study~Use of any enzyme-modifying drugs, including strong inhibitors of cytochrome P450 (CYP) enzymes (such as cimetidine, fluoxetine, quinidine, erythromycin, ciprofloxacin, fluconazole, ketoconazole, diltiazem and HIV antivirals) and strong inducers of CYP enzymes (such as barbiturates, carbamazepine, glucocorticoids, phenytoin and rifampin), in the previous 28 days before Day 1 of this study~Participation in another clinical trial or donation of 50 mL or more of blood in the previous 28 days before day 1 of this study~Donation of 500 mL or more of blood (Canadian Blood Services, Hema-Quebec, clinical studies, etc.) in the previous 56 days before day 1 of this study~Positive urine screening of drugs of abuse (drugs listing is presented in section 6.1.1.4)~Any history of tuberculosis and/or prophylaxis for tuberculosis~Positive results to HIV, HBsAg or anti-HCV tests",none,Completed
81,NCT03759613,"Thirty patients with unilateral burn injury, and 60 healthy subjects will be included in this study. Participants with burn injury will evaluate with the following assessment tools: Demographic data; age, gender, height, body mass index; burn characteristics; type of burn injury, degree of burn injury, localization of burn injury and total burn surface area will be recorded. Gait parameters (step length, stride length, base support, step time, cycle time, cadence, velocity, single support, double support, swing ( % of gait cycle) and stance (% of gait cycle). will be recorded via computerized system. And gait symmetry will be calculated via formule. Participants' kinesiophobia level will be evaluated with Tampa kinesiophobia scale. Their pain will be assessed by visual analog scale. Their arm swing will be evaluated by a scale.",Evaluation of Gait Symmetry in Upper Extremity Burn Injuries,Gait Analysis,Burn Injury,"Arm Swing, Burn Injury, Gait Symmetry","Gait Speed, step length, Swing phase, Stance Phase, Single Support, Double Support, Gait symmetry index, Cadence, Base support, Tampa Kinesiophobia Scale, Pain severity, Arm swing",Inclusion Criteria:~Clinical diagnosis of upper extremity burn injury~must be able to walk independently~Control group consists of healthy adults with the similar demographic characteristics as experimental group.~Exclusion Criteria:~Walking with assist device~Having a visual deficits~Having an orthopedic problems that affect gait~Having a neurological disorders~Having a musculoskeletal disorders that affect gait~Having an undergone orthopedic surgery,none,Completed
82,NCT03759574,Incidence and pathophysiologic hemodynamics of orthostatic intolerance and orthostatic hypotension in patients undergoing unilateral THA,Pathophysiologic Hemodynamics After Primary Unilateral Total Hip Arthroplasty (THA),none,"Orthostatic Intolerance, Orthostatic Hypotension, Postoperative Complications","Orthostatic Intolerance, Orthostatic Hypotension","Incidence of orthostatic intolerance, Incidence of orthostatic hypotension, Changes in systolic arterial pressure (SAP) during mobilization, Changes in diastolic arterial pressure (DAP) during mobilization, Changes in mean arterial pressure (MAP) during mobilization, Changes in systemic vascular resistance (SVR) during mobilization, Changes in cardiac output (CO) during mobilization, Changes in stroke volume (SV) during mobilization, Changes in heart rate variability (HRV) during mobilization, Changes in baroreflex sensitivity (BRS) during mobilization, Changes in peripheral perfusion index (PPI) during mobilization, Changes in cerebral perfusion (ScO2) during mobilization, Changes in muscular perfusion (SmO2) during mobilization, Changes in total blood volume (TBV), Changes in erythrocyte volume (ECV), Changes in plasma volume (PV), Changes in hematocrit, Changes in haemoglobin (Hgb) concentration, Changes in C-Reactive Protein, Pain score, Estimated bleeding, Opioid use, Cumulative fluid administration and losses","Inclusion Criteria:~Age 18-65~Written informed consent~Patients that speak and understand Danish~Patients undergoing primary unilateral total hip arthroplasty in spinal anesthesia in standardized fast-track setting~Exclusion Criteria:~Alcohol and drug abuse~Cognitive dysfunction~History of orthostatic hypotension~Use of anxiolytic or antipsychotic drugs~Use of opioids~Use of following vasodilator antihypertensive drugs: beta-blockers, angiotensin converting enzyme inhibitors (ACEI), angiotensin 2 receptor blockers (ARBs), calcium channel blockers~Use of loop diuretics, thiazid diuretics and potassium-sparing diuretics~Use of Gabapentin~Arrhythmias or heart failure~Diabetes mellitus type I~Diabetes mellitus type II~History of following diseases in the autonomic nervous system: Parkinson disease, multiple sclerosis, autonomic neuropathies~History of cerebral apoplexy or transitory cerebral ischemia~Dementia~American Society of Anesthesiologists (ASA) score ≥ 4"," Orthostatic intolerance during early mobilization after fast-track hip arthroplasty,  Effect of pre-operative methylprednisolone on orthostatic hypotension during early mobilization after total hip arthroplasty,  Oral Midodrine Hydrochloride for Prevention of Orthostatic Hypotension during Early Mobilization after Hip Arthroplasty: A Randomized, Double-blind, Placebo-controlled Trial,  Does goal-directed fluid therapy affect postoperative orthostatic intolerance?: A randomized trial,  Postoperative orthostatic intolerance: a common perioperative problem with few available solutions",Unknown status
83,NCT03759561,"In patients with suspected cervical spine injury, cervical immobilization, such as manual in-line stabilization or cervical collar has been adopted to prevent further neurologic injury due to cervical motion. In these patients, tracheal intubation with direct laryngoscopy is often challenging due to limited mouth opening, neck flexion, and head extension. In this situation, videolaryngoscope and fiberoptic bronchoscope have been used for tracheal intubation in such patients. We compared the initial success rate of tracheal intubation and intubation time between the videolaryngoscope and fiberoptic bronchoscope.",Tracheal Intubation Using Videolaryngoscope vs Fiberoptic Bronchoscope in Patients With Cervical Immobilization,intubation with videolaryngoscope vs fiberoptic bronchoscope,"Intubation, Intratracheal",none,"The initial success rate, intubation time, the incidence of complication","Inclusion Criteria:~Patients who require tracheal intubation~Adult patients aged 20-79~American Society of Anaesthegiologists physical status classification Ⅰ-Ⅲ~Exclusion Criteria:~patient's refusal~patients had a high risk of aspiration, history of gastroesophageal reflux disease, coagulopathy, previous history of radiation therapy on the neck and airway surgery, and upper airway lesions (i.e., tumor, polyp, inflammation, trauma, abscess, and foreign body)",none,Unknown status
84,NCT03759548,"Cancer patients undergo many different modalities of treatments. Pharmacological treatment should be well understood. The nutritional status is not taken into account when calculating drug's doses and this may have an impact in toxicity and quality of life. The present study proposes to evaluate the relationship between the calculation of pharmacological treatment's doses, the toxicity and the impact on quality of life among colorectal and breast cancer's patients.",Nutritional Status and Pharmacological Treatment: Impact on the Toxicity and Quality of Life of Patients With Colorectal and Breast Cancer,Assessment of nutritional status,"Nutritional Status, Colorectal Cancer, Breast Cancer","Nutritional Status, Colorectal Cancer, Breast Cancer, Pharmacological Treatment, Toxicity, Quality of Life","Impact in Quality of Life during pharmacological treatments, Pharmacological treatment-related adverse events",Inclusion Criteria:~Pathological diagnosis of Colorectal Cancer or Breast Cancer~Must have Performance Status to undergo surgery and pharmacological treatment (Adjuvant or Neoadjuvant treatment)~Exclusion Criteria:~Non-operable patients~Pacientes with poor Performance Status Eastern Cooperative Oncology Group (PS ECOG) >2,none,Unknown status
85,NCT03759535,"Acute rejection (AR) is still one of the major complications after kidney transplantation. The current diagnosis measure for AR is primarily pathological puncture test and hematuria biomarker detection, yet due to their inferior performance on timeliness, the allograft kidneys usually have been in severe conditions when the diagnoses take place. Donor derived cell free DNA (dd-cfDNA) is utilized as a measure for liquid biopsy, it can predict acute rejection at very early periods, and it is easy to operate, with fewer invasive injuries, and can reflect related conditions in a timely manner, etc.. This study plans to utilize second-generation sequencing technology to systematically evaluate the abundance variations of nuclear genome and mitocondria derived dd-cfDNA in the kidney transplant recipients' blood and urine, thus it can assist in accumulating more proof for the clinical utilization of dd-cfDNA from different sources at the early stages of AR in evidence-based medicine, and lay foundation for the development of dd-cfDNA based early-stage rejection detection tools afterkidney transplantation surgery.",Study in Detection cfDNA for the Early-stage Diagnosis of Acute Rejection Post-renal Transplantation,Acute rejection,Kidney Transplant Failure and Rejection,DNA acute rejection kidney transplantation,Renal allograft injury Renal allograft injury,Inclusion Criteria:~Patients are suitable for kidney transplant surgeries. Or There is obvious evidence for acute rejection of the allograft kidneys. The patients have no infectious complications.~Exclusion Criteria:~Patients have failed in the transplant surgeries. Patients have no urine 1 week after the transplant surgeries. Patients have severe infectious complications after the transplant surgeries. Or:The patients have infectious complications. The patients have tumors. The patients are pregnant.," Noninvasive monitoring of infection and rejection after lung transplantation,  Presence of donor-specific DNA in plasma of kidney and liver-transplant recipients",Unknown status
86,NCT03759509,"Shift work in nursing has been found to result in sleep disruption and sleep deprivation, and in sleepiness or fatigue at work. Slow reaction, insufficient attention and poor judgement often come with increased fatigue, which contributes to a high risk of accident and patient safety. Studies have shown that aerobic exercise is helpful in promoting high sleep quality. The study is conducted a prospective parallel randomized trial is performed to 60 nurses with low sleep quality. The subjects are randomly assigned to: (i) the experimental group, in which aerobic exercise training is given; (ii) the control group, in which the subjects kept their original lifestyles. The study aims to investigate the effects of aerobic exercise training on nurses' sleep quality, fatigue, attention and cortisol profile.","Effects of Aerobic Exercise Training on Nurses' Sleep Quality, Fatigue, Attention and Cortisol Profile",aerobic exercise,"Nurse, Attention, Aerobic Exercise, Sleep Quality, Fatigue, Cortisol",none,"Total sleep time sleep change, Wake after sleep onset change, Sleep efficiency change, Seep onset latency change, Simple visual reaction time testing, Saliva cortisol","Inclusion Criteria:~Full-time~Female nursing staff members~Worked 8 hours per shift~Had at least 1 year of work experience.~Exclusion Criteria:~Had used sedatives, hypnotics, antihistamines, or hormonal drugs within the 4 weeks before commencing the study~Pregnant~Were diagnosed as having sleep or stress disorders, or experienced sleep problems owing to concurrent insomnia or sleep apnea.",none,Completed
87,NCT03759483,"Glaucoma is currently the leading cause of irreversible blindness in the world. The multi-center study is designed to evaluate the efficacy of the convolutional neural network based algorithm in differentiation of glaucomatous from non-glaucomatous visual field, and to assess its utility in the real world.",Diagnostic Efficacy of CNN in Differentiation of Visual Field,AI diagnostic algorithm,Diagnositic Efficacy of Deep Convolutional Neural Network in Differentiation of Glaucoma Visual Field From Non-glaucoma Visual Field,"Deep convolutional neural network, Visual field, Glaucoma","AUC value of convolutional neural network in differentiation of Glaucoma visual field from non-glaucoma visual field, Sensitivity and specificity of convolutional neural network in detection of glaucoma visual field",Inclusion Criteria:~Age≥18;~Informed consent obtained;~Diagnosed with specific ocular diseases;~Able to perform visual field test~Exclusion Criteria:~Incomplete clinical data to support diagnosis,none,Completed
88,NCT03759470,"Bacterial meningitis occurs in about 3 people per 100,000 annually in Western countries. .",Evaluation of Different Methods for Diagnosis of ME,CSF examination,Diagnoses Disease,none,Evaluation of CSF and blood samples in diagnosis of meningitis in children's.,Inclusion Criteria:~childrens admitted inside Assiut university hospital with ME and fullfilling it's symptoms and signs.~Exclusion Criteria:~-Childrens with symptoms and signs that are not consistenet with ME.,none,Unknown status
89,NCT03759457,"In the present investigation, in 50 COPD with persistent hypercapnia after an acute exacerbation, the investigators want to assess the acceptability of HFNC and its effectiveness in further reducing the level of PaCO2, and to eventually verify the hypothesis, based on previous physiological studies, that the response to HFNC is dependent on the level of baseline hypercapnia and eventually on the presence of overlap syndrome. This latter parameters to eventually calculate the sample size and the target population to perform future definitive randomized long term trials vs NIV.",High Flow Nasal Cannula and Hypercapnia,High Flow Nasal Cannula (AIRVO2),COPD,none,"changes in Arterial Blood Gases (ABGs), tolerance to the treatment","Inclusion Criteria:~inpatients recovering from an acute exacerbation of their disease~persisting hypercapnia, despite having reached a stabilization in pH (i.e. pH>7,35 and PaCO2>45 mmHg on 3 consecutive measurements)~Exclusion Criteria:~Cardiac decompensation,~restrictive thoracic disorders,~renal insufficiency,~cancer,~neurological disease", Effects of high-flow nasal cannula in patients with persistent hypercapnia after an acute COPD exacerbation: a prospective pilot study,Unknown status
90,NCT03759444,"The objective of the study was to determine how patients with eating disorders perceive time, and in particular whether their experience of time differs from that of healthy individuals. Another goal was to examine the relationship between the mood of the subjects and their time perspective. The subjects were 30 women with eating disorders and 30 age-matched healthy female controls. The three measures applied were: the Time Metaphors Questionnaire by Sobol-Kwapinska, the Time Perspective Inventory by Zimbardo, and the UWIST Mood Adjective Checklist (UMACL) by Matthews et al.",Perception of Time by Individuals With Eating Disorders,Questionnaires,Feeding and Eating Disorders,"Existential suffering, Psychotherapy, Perception of time, Eating disorders, Ego-syntonicity","The Time Metaphors Questionnaire by Sobol-Kwapińska, Time Perspective Inventory by Zimbardo, Transcendental Future Time Perspective Inventory, The UWIST Mood Adjective Checklist (UMACL) by Matthews et al.",Inclusion Criteria:~Clinical diagnosis of eating disorders (anorexia nervosa or bulimia nervosa)~Age between 18 and 40 years~Exclusion Criteria:~diagnosis of other (except eating disorders) mental disorder~Age below 18 years and above 40 years," UMACL Mood Adjective Checklist by G,  Refining the measurement of mood: the UWIST Mood Adjective Checklist,  TMQ Time Metaphor Questionnaire: Manual,  The time paradox,  Putting time in perspective: a valid, reliable individual differences metric",Completed
